施設,年月日,時刻,人数
ひがし茶屋街,2025/9/2,6,0
ひがし茶屋街,2025/9/2,7,0
ひがし茶屋街,2025/9/2,8,0
ひがし茶屋街,2025/9/2,9,0
ひがし茶屋街,2025/9/2,10,0
ひがし茶屋街,2025/9/2,11,33
ひがし茶屋街,2025/9/2,12,37
ひがし茶屋街,2025/9/2,13,40
ひがし茶屋街,2025/9/2,14,37
ひがし茶屋街,2025/9/2,15,25
ひがし茶屋街,2025/9/2,16,24
ひがし茶屋街,2025/9/2,17,16
ひがし茶屋街,2025/9/2,18,9
ひがし茶屋街,2025/9/2,19,10
ひがし茶屋街,2025/9/2,20,6
ひがし茶屋街,2025/9/2,21,1
ひがし茶屋街,2025/9/2,22,1
ひがし茶屋街,2025/9/2,23,1
ひがし茶屋街,2025/9/3,0,0
ひがし茶屋街,2025/9/3,1,0
ひがし茶屋街,2025/9/3,2,0
ひがし茶屋街,2025/9/3,3,0
ひがし茶屋街,2025/9/3,4,1
ひがし茶屋街,2025/9/3,5,4
ひがし茶屋街,2025/9/3,6,4
ひがし茶屋街,2025/9/3,7,10
ひがし茶屋街,2025/9/3,8,21
ひがし茶屋街,2025/9/3,9,31
ひがし茶屋街,2025/9/3,10,33
ひがし茶屋街,2025/9/3,11,37
ひがし茶屋街,2025/9/3,12,49
ひがし茶屋街,2025/9/3,13,51
ひがし茶屋街,2025/9/3,14,39
ひがし茶屋街,2025/9/3,15,33
ひがし茶屋街,2025/9/3,16,27
ひがし茶屋街,2025/9/3,17,13
ひがし茶屋街,2025/9/3,18,13
ひがし茶屋街,2025/9/3,19,9
ひがし茶屋街,2025/9/3,20,7
ひがし茶屋街,2025/9/3,21,4
ひがし茶屋街,2025/9/3,22,0
ひがし茶屋街,2025/9/3,23,3
ひがし茶屋街,2025/9/4,0,0
ひがし茶屋街,2025/9/4,1,0
ひがし茶屋街,2025/9/4,2,0
ひがし茶屋街,2025/9/4,3,0
ひがし茶屋街,2025/9/4,4,1
ひがし茶屋街,2025/9/4,5,3
ひがし茶屋街,2025/9/4,6,7
ひがし茶屋街,2025/9/4,7,13
ひがし茶屋街,2025/9/4,8,22
ひがし茶屋街,2025/9/4,9,36
ひがし茶屋街,2025/9/4,10,40
ひがし茶屋街,2025/9/4,11,31
ひがし茶屋街,2025/9/4,12,37
ひがし茶屋街,2025/9/4,13,42
ひがし茶屋街,2025/9/4,14,40
ひがし茶屋街,2025/9/4,15,34
ひがし茶屋街,2025/9/4,16,27
ひがし茶屋街,2025/9/4,17,15
ひがし茶屋街,2025/9/4,18,12
ひがし茶屋街,2025/9/4,19,10
ひがし茶屋街,2025/9/4,20,4
ひがし茶屋街,2025/9/4,21,3
ひがし茶屋街,2025/9/4,22,1
ひがし茶屋街,2025/9/4,23,1
ひがし茶屋街,2025/9/5,0,0
ひがし茶屋街,2025/9/5,1,0
ひがし茶屋街,2025/9/5,2,0
ひがし茶屋街,2025/9/5,3,0
ひがし茶屋街,2025/9/5,4,1
ひがし茶屋街,2025/9/5,5,3
ひがし茶屋街,2025/9/5,6,3
ひがし茶屋街,2025/9/5,7,10
ひがし茶屋街,2025/9/5,8,18
ひがし茶屋街,2025/9/5,9,37
ひがし茶屋街,2025/9/5,10,37
ひがし茶屋街,2025/9/5,11,37
ひがし茶屋街,2025/9/5,12,45
ひがし茶屋街,2025/9/5,13,48
ひがし茶屋街,2025/9/5,14,37
ひがし茶屋街,2025/9/5,15,34
ひがし茶屋街,2025/9/5,16,22
ひがし茶屋街,2025/9/5,17,18
ひがし茶屋街,2025/9/5,18,7
ひがし茶屋街,2025/9/5,19,9
ひがし茶屋街,2025/9/5,20,6
ひがし茶屋街,2025/9/5,21,3
ひがし茶屋街,2025/9/5,22,1
ひがし茶屋街,2025/9/5,23,1
ひがし茶屋街,2025/9/6,0,0
ひがし茶屋街,2025/9/6,1,0
