施設,年月日,時刻,人数
金沢城公園,2024/10/24,13,27
金沢城公園,2024/10/24,14,19
金沢城公園,2024/10/24,15,16
金沢城公園,2024/10/24,16,0
金沢城公園,2024/10/24,17,0
金沢城公園,2024/10/24,18,0
金沢城公園,2024/10/24,19,0
金沢城公園,2024/10/24,20,0
金沢城公園,2024/10/24,21,0
金沢城公園,2024/10/24,22,0
金沢城公園,2024/10/24,23,0
ひがし茶屋街,2024/10/16,0,0
ひがし茶屋街,2024/10/16,1,0
ひがし茶屋街,2024/10/16,2,0
ひがし茶屋街,2024/10/16,3,0
ひがし茶屋街,2024/10/16,4,0
ひがし茶屋街,2024/10/16,5,0
ひがし茶屋街,2024/10/16,6,0
ひがし茶屋街,2024/10/16,7,0
ひがし茶屋街,2024/10/16,8,0
ひがし茶屋街,2024/10/16,9,0
ひがし茶屋街,2024/10/16,10,0
ひがし茶屋街,2024/10/16,11,0
ひがし茶屋街,2024/10/16,12,0
ひがし茶屋街,2024/10/16,13,0
ひがし茶屋街,2024/10/16,14,0
ひがし茶屋街,2024/10/16,15,0
ひがし茶屋街,2024/10/16,16,0
ひがし茶屋街,2024/10/16,17,0
ひがし茶屋街,2024/10/16,18,0
ひがし茶屋街,2024/10/16,19,0
ひがし茶屋街,2024/10/16,20,0
ひがし茶屋街,2024/10/16,21,0
ひがし茶屋街,2024/10/16,22,0
ひがし茶屋街,2024/10/16,23,0
ひがし茶屋街,2024/10/17,0,0
ひがし茶屋街,2024/10/17,1,0
ひがし茶屋街,2024/10/17,2,0
ひがし茶屋街,2024/10/17,3,0
ひがし茶屋街,2024/10/17,4,0
ひがし茶屋街,2024/10/17,5,0
ひがし茶屋街,2024/10/17,6,0
ひがし茶屋街,2024/10/17,7,0
ひがし茶屋街,2024/10/17,8,0
ひがし茶屋街,2024/10/17,9,0
ひがし茶屋街,2024/10/17,10,0
ひがし茶屋街,2024/10/17,11,33
ひがし茶屋街,2024/10/17,12,37
ひがし茶屋街,2024/10/17,13,40
ひがし茶屋街,2024/10/17,14,37
ひがし茶屋街,2024/10/17,15,25
ひがし茶屋街,2024/10/17,16,24
ひがし茶屋街,2024/10/17,17,16
ひがし茶屋街,2024/10/17,18,9
ひがし茶屋街,2024/10/17,19,10
ひがし茶屋街,2024/10/17,20,6
ひがし茶屋街,2024/10/17,21,1
ひがし茶屋街,2024/10/17,22,1
ひがし茶屋街,2024/10/17,23,1
ひがし茶屋街,2024/10/18,0,0
ひがし茶屋街,2024/10/18,1,0
ひがし茶屋街,2024/10/18,2,0
ひがし茶屋街,2024/10/18,3,0
ひがし茶屋街,2024/10/18,4,1
ひがし茶屋街,2024/10/18,5,4
ひがし茶屋街,2024/10/18,6,4
ひがし茶屋街,2024/10/18,7,10
ひがし茶屋街,2024/10/18,8,21
ひがし茶屋街,2024/10/18,9,31
ひがし茶屋街,2024/10/18,10,33
ひがし茶屋街,2024/10/18,11,37
ひがし茶屋街,2024/10/18,12,49
ひがし茶屋街,2024/10/18,13,51
ひがし茶屋街,2024/10/18,14,39
ひがし茶屋街,2024/10/18,15,33
ひがし茶屋街,2024/10/18,16,27
ひがし茶屋街,2024/10/18,17,13
ひがし茶屋街,2024/10/18,18,13
ひがし茶屋街,2024/10/18,19,9
ひがし茶屋街,2024/10/18,20,7
ひがし茶屋街,2024/10/18,21,4
ひがし茶屋街,2024/10/18,22,0
ひがし茶屋街,2024/10/18,23,3
ひがし茶屋街,2024/10/19,0,0
ひがし茶屋街,2024/10/19,1,0
ひがし茶屋街,2024/10/19,2,0
ひがし茶屋街,2024/10/19,3,0
ひがし茶屋街,2024/10/19,4,1
ひがし茶屋街,2024/10/19,5,3
ひがし茶屋街,2024/10/19,6,7
ひがし茶屋街,2024/10/19,7,13
ひがし茶屋街,2024/10/19,8,22
ひがし茶屋街,2024/10/19,9,36
ひがし茶屋街,2024/10/19,10,40
ひがし茶屋街,2024/10/19,11,31
ひがし茶屋街,2024/10/19,12,37
ひがし茶屋街,2024/10/19,13,42
ひがし茶屋街,2024/10/19,14,40
ひがし茶屋街,2024/10/19,15,34
ひがし茶屋街,2024/10/19,16,27
ひがし茶屋街,2024/10/19,17,15
ひがし茶屋街,2024/10/19,18,12
ひがし茶屋街,2024/10/19,19,10
ひがし茶屋街,2024/10/19,20,4
ひがし茶屋街,2024/10/19,21,3
ひがし茶屋街,2024/10/19,22,1
ひがし茶屋街,2024/10/19,23,1
ひがし茶屋街,2024/10/20,0,0
ひがし茶屋街,2024/10/20,1,0
ひがし茶屋街,2024/10/20,2,0
ひがし茶屋街,2024/10/20,3,0
ひがし茶屋街,2024/10/20,4,1
ひがし茶屋街,2024/10/20,5,3
ひがし茶屋街,2024/10/20,6,3
ひがし茶屋街,2024/10/20,7,10
ひがし茶屋街,2024/10/20,8,18
ひがし茶屋街,2024/10/20,9,37
ひがし茶屋街,2024/10/20,10,37
ひがし茶屋街,2024/10/20,11,37
ひがし茶屋街,2024/10/20,12,45
ひがし茶屋街,2024/10/20,13,48
ひがし茶屋街,2024/10/20,14,37
ひがし茶屋街,2024/10/20,15,34
ひがし茶屋街,2024/10/20,16,22
ひがし茶屋街,2024/10/20,17,18
ひがし茶屋街,2024/10/20,18,7
ひがし茶屋街,2024/10/20,19,9
ひがし茶屋街,2024/10/20,20,6
ひがし茶屋街,2024/10/20,21,3
ひがし茶屋街,2024/10/20,22,1
ひがし茶屋街,2024/10/20,23,1
ひがし茶屋街,2024/10/21,0,0
ひがし茶屋街,2024/10/21,1,0
ひがし茶屋街,2024/10/21,2,0
ひがし茶屋街,2024/10/21,3,0
ひがし茶屋街,2024/10/21,4,1
ひがし茶屋街,2024/10/21,5,4
ひがし茶屋街,2024/10/21,6,6
ひがし茶屋街,2024/10/21,7,13
ひがし茶屋街,2024/10/21,8,19
ひがし茶屋街,2024/10/21,9,46
ひがし茶屋街,2024/10/21,10,48
ひがし茶屋街,2024/10/21,11,43
ひがし茶屋街,2024/10/21,12,40
ひがし茶屋街,2024/10/21,13,40
ひがし茶屋街,2024/10/21,14,37
ひがし茶屋街,2024/10/21,15,34
ひがし茶屋街,2024/10/21,16,25
ひがし茶屋街,2024/10/21,17,21
